Publication date,DOI,Title,Authors Raw Affiliation
11/27/2023,10.1007/978-3-031-48621-0_9,On Time-Space Lower Bounds for Finding Short Collisions in Sponge Hash Functions,"Akshima (Shanghai Frontiers Science Center of Artificial Intelligence and Deep Learning, NYU Shanghai, Shanghai, China); Duan, Xiaoqi (ETH Z rich, Z rich, Switzerland); Guo, Siyao (Shanghai Frontiers Science Center of Artificial Intelligence and Deep Learning, NYU Shanghai, Shanghai, China); Liu, Qipeng (UC San Diego, San Diego, USA)"
11/27/2023,10.1002/hbm.26532,Cortical gray to white matter signal intensity ratio as a sign of neurodegeneration and cognition independent of ??amyloid in dementia,"Xu, Xiaomeng (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Jang, Ikbeom (Athinoula A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital, Charlestown, Massachusetts, USA; Department of Radiology, Harvard Medical School, Boston, Massachusetts, USA; Division of Computer Engineering, Hankuk University of Foreign Studies, Yongin, South Korea); Zhang, Junfang (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Zhang, Miao (Department of Nuclear Medicine, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Wang, Lijun (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Ye, Guanyu (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Zhao, Aonan (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Zhang, Yichi (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Li, Biao (Department of Nuclear Medicine, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Liu, Jun (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Clinical Neuroscience Center, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Li, Binyin (Department of Neurology and Institute of Neurology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Clinical Neuroscience Center, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China); Initiative, for the Alzheimer's Disease Neuroimaging ()"
11/28/2023,10.1038/s41386-023-01763-5,Examining the association between posttraumatic stress disorder and disruptions in cortical networks identified using data-driven methods,"Yang, Jin (Department of Radiology, Washington University in St. Louis, St. Louis, MO, USA); Huggins, Ashley A. (Duke-UNC Brain Imaging and Analysis Center, Duke University, Durham, NC, USA; Mid-Atlantic Mental Illness Research Education and Clinical Center, Durham VA Medical Center, Durham, NC, USA); Sun, Delin (Duke-UNC Brain Imaging and Analysis Center, Duke University, Durham, NC, USA; Mid-Atlantic Mental Illness Research Education and Clinical Center, Durham VA Medical Center, Durham, NC, USA; Department of Psychology, The Education University of Hong Kong, Hong Kong, China); Baird, C. Lexi (Duke-UNC Brain Imaging and Analysis Center, Duke University, Durham, NC, USA; Mid-Atlantic Mental Illness Research Education and Clinical Center, Durham VA Medical Center, Durham, NC, USA); Haswell, Courtney C. (Duke-UNC Brain Imaging and Analysis Center, Duke University, Durham, NC, USA; Mid-Atlantic Mental Illness Research Education and Clinical Center, Durham VA Medical Center, Durham, NC, USA); Frijling, Jessie L. (Department of Psychiatry, Amsterdam University Medical Center, Amsterdam, The Netherlands); Olff, Miranda (Department of Psychiatry, Amsterdam University Medical Center, Amsterdam, The Netherlands; ARQ National Psychotrauma Centre, Diemen, The Netherlands); van Zuiden, Mirjam (Department of Psychiatry, Amsterdam University Medical Center, Amsterdam, The Netherlands); Koch, Saskia B. J. (Department of Psychiatry, Amsterdam University Medical Center, Amsterdam, The Netherlands; Donders Institute for Brain, Cognition and Behavior, Centre for Cognitive Neuroimaging, Radboud University Nijmegen, Nijmegen, The Netherlands); Nawijn, Laura (Department of Psychiatry, Amsterdam University Medical Center, Amsterdam, The Netherlands); Veltman, Dick J. (Department of Psychiatry, Amsterdam University Medical Center, Amsterdam, The Netherlands); Suarez-Jimenez, Benjamin (Del Monte Institute for Neuroscience, University of Rochester Medical Center, Rochester, NY, USA); Zhu, Xi (Department of Psychiatry, Columbia University Medical Center, New York, NY, USA; New York State Psychiatric Institute, New York, NY, USA); Neria, Yuval (Department of Psychiatry, Columbia University Medical Center, New York, NY, USA; New York State Psychiatric Institute, New York, NY, USA); Hudson, Anna R. (Department of Experimental Clinical and Health Psychology, Ghent University, Ghent, Belgium); Mueller, Sven C. (Department of Experimental Clinical and Health Psychology, Ghent University, Ghent, Belgium); Baker, Justin T. (Department of Psychiatry, Harvard Medical School, Boston, MA, USA; Institute for Technology in Psychiatry, McLean Hospital, Harvard University, Belmont, MA, USA); Lebois, Lauren A. M. (Department of Psychiatry, Harvard Medical School, Boston, MA, USA; Division of Depression and Anxiety Disorders, McLean Hospital, Belmont, MA, USA); Kaufman, Milissa L. (Department of Psychiatry, Harvard Medical School, Boston, MA, USA; Division of Women s Mental Health, McLean Hospital, Belmont, MA, USA); Qi, Rongfeng (Department of Medical Imaging, Jinling Hospital, Medical School of Nanjing University, Jiangsu, China); Lu, Guang Ming (Department of Medical Imaging, Jinling Hospital, Medical School of Nanjing University, Jiangsu, China); ? ha, Pavel (First Department of Neurology, St. Anne s University Hospital and Faculty of Medicine, Masaryk University, Brno, Czech Republic; CEITEC-Central European Institute of Technology, Multimodal and Functional Neuroimaging Research Group, Masaryk University, Brno, Czech Republic); Rektor, Ivan (CEITEC-Central European Institute of Technology, Multimodal and Functional Neuroimaging Research Group, Masaryk University, Brno, Czech Republic); Dennis, Emily L. (Department of Neurology, University of Utah, Salt Lake City, UT, USA; George E. Wahlen Veterans Affairs Medical Center, Salt Lake City, UT, USA); Ching, Christopher R. K. (Imaging Genetics Center, Mark & Mary Stevens Neuroimaging & Informatics Institute, Keck School of Medicine of USC, Marina del Rey, CA, USA); Thomopoulos, Sophia I. (Imaging Genetics Center, Mark & Mary Stevens Neuroimaging & Informatics Institute, Keck School of Medicine of USC, Marina del Rey, CA, USA); Salminen, Lauren E. (Imaging Genetics Center, Mark & Mary Stevens Neuroimaging & Informatics Institute, Keck School of Medicine of USC, Marina del Rey, CA, USA); Jahanshad, Neda (Imaging Genetics Center, Mark & Mary Stevens Neuroimaging & Informatics Institute, Keck School of Medicine of USC, Marina del Rey, CA, USA); Thompson, Paul M. (Imaging Genetics Center, Mark & Mary Stevens Neuroimaging & Informatics Institute, Keck School of Medicine of USC, Marina del Rey, CA, USA); Stein, Dan J. (Department of Psychiatry and Neuroscience Institute, University of Cape Town, Cape Town, South Africa); Koopowitz, Sheri M. (Department of Psychiatry and Neuroscience Institute, University of Cape Town, Cape Town, South Africa); Ipser, Jonathan C. (Department of Psychiatry and Neuroscience Institute, University of Cape Town, Cape Town, South Africa); Seedat, Soraya (Department of Psychiatry, Stellenbosch University, Cape Town, South Africa); du Plessis, Stefan (Department of Psychiatry, Stellenbosch University, Cape Town, South Africa); van den Heuvel, Leigh L. (Department of Psychiatry, Stellenbosch University, Cape Town, South Africa); Wang, Li (Laboratory for Traumatic Stress Studies, Chinese Academy of Sciences Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China; Department of Psychology, University of Chinese Academy of Sciences, Beijing, China); Zhu, Ye (Laboratory for Traumatic Stress Studies, Chinese Academy of Sciences Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China; Department of Psychology, University of Chinese Academy of Sciences, Beijing, China); Li, Gen (Laboratory for Traumatic Stress Studies, Chinese Academy of Sciences Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China; Department of Psychology, University of Chinese Academy of Sciences, Beijing, China); Sierk, Anika (University Medical Centre Charit , Berlin, Germany); Manthey, Antje (University Medical Centre Charit , Berlin, Germany); Walter, Henrik (University Medical Centre Charit , Berlin, Germany); Daniels, Judith K. (Department of Clinical Psychology, University of Groningen, Groningen, The Netherlands); Schmahl, Christian (Department of Psychosomatic Medicine and Psychotherapy, Central Institute of Mental Health, Medical Faculty Mannheim, Heidelberg University, Heidelberg, Germany); Herzog, Julia I. (Department of Psychosomatic Medicine and Psychotherapy, Central Institute of Mental Health, Medical Faculty Mannheim, Heidelberg University, Heidelberg, Germany); Liberzon, Israel (Department of Psychiatry and Behavioral Science, Texas A&M University, College Station, TX, USA); King, Anthony (Department of Psychiatry, University of Michigan, Ann Arbor, MI, USA); Angstadt, Mike (Department of Psychiatry, University of Michigan, Ann Arbor, MI, USA); Davenport, Nicholas D. (Minneapolis VA Health Care System, Minneapolis, MN, USA; Department of Psychiatry, University of Minnesota, Minneapolis, MN, USA); Sponheim, Scott R. (Minneapolis VA Health Care System, Minneapolis, MN, USA; Department of Psychiatry, University of Minnesota, Minneapolis, MN, USA); Disner, Seth G. (Minneapolis VA Health Care System, Minneapolis, MN, USA; Department of Psychiatry, University of Minnesota, Minneapolis, MN, USA); Straube, Thomas (Institute of Medical Psychology and Systems Neuroscience, University of M nster, M nster, Germany); Hofmann, David (Institute of Medical Psychology and Systems Neuroscience, University of M nster, M nster, Germany); Grupe, Daniel W. (Center for Healthy Minds, University of Wisconsin-Madison, Madison, WI, USA); Nitschke, Jack B. (Department of Psychiatry, University of Wisconsin-Madison, Madison, WI, USA); Davidson, Richard J. (Center for Healthy Minds, University of Wisconsin-Madison, Madison, WI, USA; Department of Psychiatry, University of Wisconsin-Madison, Madison, WI, USA; Department of Psychology, University of Wisconsin-Madison, Madison, WI, USA); Larson, Christine L. (Department of Psychology, University of Wisconsin-Milwaukee, Milwaukee, WI, USA); deRoon-Cassini, Terri A. (Division of Trauma and Acute Care Surgery, Department of Surgery, Medical College of Wisconsin, Milwaukee, WI, USA; Comprehensive Injury Center, Medical College of Wisconsin, Milwaukee, WI, USA); Blackford, Jennifer U. (Munroe-Meyer Institute, University of Nebraska Medical Center, Omaha, NE, USA; Department of Psychiatry and Behavioral Sciences, Vanderbilt University Medical Center, Nashville, TN, USA); Olatunji, Bunmi O. (Department of Psychology, Vanderbilt University, Nashville, TN, USA); Gordon, Evan M. (Department of Radiology, Washington University in St. Louis, St. Louis, MO, USA); May, Geoffrey (Veterans Integrated Service Network-17 Center of Excellence for Research on Returning War Veterans, Waco, TX, USA; Department of Psychology and Neuroscience, Baylor University, Waco, TX, USA; Center for Vital Longevity, School of Behavioral and Brain Sciences, University of Texas at Dallas, Dallas, TX, USA; Department of Psychiatry and Behavioral Science, Texas A&M University Health Science Center, Bryan, TX, USA); Nelson, Steven M. (Veterans Integrated Service Network-17 Center of Excellence for Research on Returning War Veterans, Waco, TX, USA; Department of Psychology and Neuroscience, Baylor University, Waco, TX, USA; Center for Vital Longevity, School of Behavioral and Brain Sciences, University of Texas at Dallas, Dallas, TX, USA; Department of Psychiatry and Behavioral Science, Texas A&M University Health Science Center, Bryan, TX, USA); Abdallah, Chadi G. (Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA; Department of Psychiatry of Behavioral Sciences, Baylor College of Medicine, Houston, TX, USA); Levy, Ifat (Department of Comparative Medicine, Yale University, New Haven, CT, USA; Department of Neuroscience, Yale University, New Haven, CT, USA; Department of Psychology, Yale University, New Haven, CT, USA; Wu Tsai Institute, Yale University, New Haven, CT, USA; Division of Clinical Neuroscience, National Center for PTSD, West Haven, CT, USA); Harpaz-Rotem, Ilan (Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA; Department of Psychology, Yale University, New Haven, CT, USA; Division of Clinical Neuroscience, National Center for PTSD, West Haven, CT, USA); Krystal, John H. (Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA; Division of Clinical Neuroscience, National Center for PTSD, West Haven, CT, USA); Morey, Rajendra A. (Duke-UNC Brain Imaging and Analysis Center, Duke University, Durham, NC, USA; Mid-Atlantic Mental Illness Research Education and Clinical Center, Durham VA Medical Center, Durham, NC, USA); Sotiras, Aristeidis (Department of Radiology, Washington University in St. Louis, St. Louis, MO, USA; Institute for Informatics, Data Science & Biostatistics, Washington University in St. Louis, St. Louis, MO, USA)"
11/29/2023,10.1038/s41388-023-02893-2,Functional evaluation of dendritic cells and extracellular vesicles as immunotherapy for breast cancer,"Lyu, Feng (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA; Department of Breast Surgery, Henan Provincial People s Hospital, People s Hospital of Zhengzhou University; People s Hospital of Henan University, 450003, Zhengzhou, Henan, China); Wu, Kerui (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA; Department of Nanoscience, The Joint School of Nanoscience and Nanoengineering, University of North Carolina Greensboro, 27401, Greensboro, NC, USA); Wu, Shih-Ying (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA); Deshpande, Ravindra Pramod (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA); Tyagi, Abhishek (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA); Ruiz, Isabella (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA); Yalavarthi, Sindhu (Department of Nanoscience, The Joint School of Nanoscience and Nanoengineering, University of North Carolina Greensboro, 27401, Greensboro, NC, USA); Watabe, Kounosuke (Department of Cancer Biology, Wake Forest University School of Medicine, 27157, Winston-Salem, NC, USA)"
11/29/2023,10.1038/s41586-023-06689-y,Cascaded compression of size distribution of nanopores in monolayer graphene,"Wang, Jiangtao (Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA); Cheng, Chi (Department of Chemical Engineering, University of Melbourne, Parkville, Victoria, Australia; School of Chemical Engineering, University of New South Wales (UNSW), Kensington, New South Wales, Australia); Zheng, Xudong (Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA); Idrobo, Juan Carlos (Materials Science and Engineering Department, University of Washington, Seattle, WA, USA); Lu, Ang-Yu (Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA); Park, Ji-Hoon (Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA); Shin, Bong Gyu (Max Planck Institute for Solid State Research, Stuttgart, Germany; SKKU Advanced Institute of Nanotechnology (SAINT), Sungkyunkwan University (SKKU), Suwon, Republic of Korea); Jung, Soon Jung (Max Planck Institute for Solid State Research, Stuttgart, Germany); Zhang, Tianyi (Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA); Wang, Haozhe (Department of Electrical and Computer Engineering, Duke University, Durham, NC, USA); Gao, Guanhui (Materials Science and NanoEngineering Department, Rice University, Houston, TX, USA); Shin, Bongki (Materials Science and NanoEngineering Department, Rice University, Houston, TX, USA); Jin, Xiang (Department of Physics, Tsinghua University, Beijing, China); Ju, Long (Department of Physics, Massachusetts Institute of Technology, Cambridge, MA, USA); Han, Yimo (Materials Science and NanoEngineering Department, Rice University, Houston, TX, USA); Li, Lain-Jong (Department of Mechanical Engineering, University of Hong Kong, Hong Kong SAR, China); Karnik, Rohit (Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA); Kong, Jing (Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA)"
11/29/2023,10.1038/s42005-023-01469-6,Large anomalous Hall effect and negative magnetoresistance in half-topological semimetals,"Zhu, Yanglin (Department of Physics, Pennsylvania State University, 16802, University Park, PA, USA; School of Physics and Technology, Nanjing Normal University, 210046, Nanjing, China); Huang, Cheng-Yi (Department of Physics, Northeastern University, 02115, Boston, USA); Wang, Yu (Department of Physics, Pennsylvania State University, 16802, University Park, PA, USA); Graf, David (National High Magnetic Field Laboratory, 32310, Tallahassee, FL, USA); Lin, Hsin (Institute of Physics, Academia Sinica, 11529, Taipei, Taiwan); Lee, Seng Huat (Department of Physics, Pennsylvania State University, 16802, University Park, PA, USA); Singleton, John (National High Magnetic Field Laboratory, Pulsed Field Facility, Los Alamos National Laboratory, 87545, Los Alamos, NM, USA); Min, Lujin (Department of Physics, Pennsylvania State University, 16802, University Park, PA, USA); Palmstrom, Johanna C. (National High Magnetic Field Laboratory, Pulsed Field Facility, Los Alamos National Laboratory, 87545, Los Alamos, NM, USA); Bansil, Arun (Department of Physics, Northeastern University, 02115, Boston, USA); Singh, Bahadur (Department of Condensed Matter Physics and Materials Science, Tata Institute of Fundamental Research, 400005, Mumbai, India); Mao, Zhiqiang (Department of Physics, Pennsylvania State University, 16802, University Park, PA, USA)"
11/29/2023,10.3847/1538-4357/acf4f2,A Search for Pulsars around Sgr A* in the First Event Horizon Telescope Data Set,N/A
11/30/2023,10.1021/acs.chemmater.3c02182,"Copolymers Based on ??Conjugated Asymmetric Naphthalene Diimide Building Blocks: Synthesis, Crystallography, and Structure Property Charge Transport/Photovoltaic Correlations","Wu, Jianglin (Department of Chemistry, Center for Light Energy Activated Redox Processes (LEAP), and the Materials Research Center (MRC), Northwestern University, 2145 Sheridan Road, Evanston, Illinois, 60208, United States; SINOPEC Maoming Petrochemical Co., Ltd., Maoming, 525000, China; Key Laboratory of Green Chemistry and Technology (Ministry of Education), College of Chemistry, Sichuan University, Chengdu, 610064, P. R. China; Guangdong Provincial Key Laboratory of Advanced Green Lubricating Materials, Maoming, 525000, China); Fu, Caixia (SINOPEC Maoming Petrochemical Co., Ltd., Maoming, 525000, China; Key Laboratory of Green Chemistry and Technology (Ministry of Education), College of Chemistry, Sichuan University, Chengdu, 610064, P. R. China; Guangdong Provincial Key Laboratory of Advanced Green Lubricating Materials, Maoming, 525000, China); Pankow, Robert M. (Department of Chemistry, Center for Light Energy Activated Redox Processes (LEAP), and the Materials Research Center (MRC), Northwestern University, 2145 Sheridan Road, Evanston, Illinois, 60208, United States); Chen, Yao (Department of Chemistry, Center for Light Energy Activated Redox Processes (LEAP), and the Materials Research Center (MRC), Northwestern University, 2145 Sheridan Road, Evanston, Illinois, 60208, United States; Chongqing Institute of Green and Intelligent Technology, Chinese Academy of Sciences, Chongqing, 400714, P. R. China); Zheng, Ding (Department of Chemistry, Center for Light Energy Activated Redox Processes (LEAP), and the Materials Research Center (MRC), Northwestern University, 2145 Sheridan Road, Evanston, Illinois, 60208, United States); Lu, Zhiyun (Key Laboratory of Green Chemistry and Technology (Ministry of Education), College of Chemistry, Sichuan University, Chengdu, 610064, P. R. China); Huang, Yan (Key Laboratory of Green Chemistry and Technology (Ministry of Education), College of Chemistry, Sichuan University, Chengdu, 610064, P. R. China); Marks, Tobin J. (Department of Chemistry, Center for Light Energy Activated Redox Processes (LEAP), and the Materials Research Center (MRC), Northwestern University, 2145 Sheridan Road, Evanston, Illinois, 60208, United States); Facchetti, Antonio (Department of Chemistry, Center for Light Energy Activated Redox Processes (LEAP), and the Materials Research Center (MRC), Northwestern University, 2145 Sheridan Road, Evanston, Illinois, 60208, United States; School of Materials Science and Engineering, Georgia Institute of Technology, Atlanta, Georgia, 30332, United States)"
11/30/2023,10.1002/advs.202305085,Complex Materials with Stochastic Structural Patterns: Spiky Colloids with Enhanced Charge Storage Capacity,"Cao, Yuan (Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Biointerface Institute, University of Michigan, Ann Arbor, MI, 48109, USA); Luo, Bingcheng (College of Science, China Agriculture University, Beijing, 100083, China); Javaid, Atif (Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Biointerface Institute, University of Michigan, Ann Arbor, MI, 48109, USA; Department of Polymer Engineering, University of Engineering and Technology, G. T. Road, Lahore, 54890, Pakistan; Department of Materials Science and Engineering, University of Michigan, Ann Arbor, MI, 48109, USA); Jung, Hong Ju (Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Biointerface Institute, University of Michigan, Ann Arbor, MI, 48109, USA; Center for Complex Particle Systems (COMPASS), University of Michigan, Ann Arbor, MI, 48109, USA); Ma, Tao (Department of Materials Science and Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Michigan Center for Materials Characterization, University of Michigan, Ann Arbor, MI, 48109, USA); Lim, Chung?Man (Biointerface Institute, University of Michigan, Ann Arbor, MI, 48109, USA; Department of Materials Science and Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Center for Complex Particle Systems (COMPASS), University of Michigan, Ann Arbor, MI, 48109, USA); Emre, Ahmet (Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Biointerface Institute, University of Michigan, Ann Arbor, MI, 48109, USA; Center for Complex Particle Systems (COMPASS), University of Michigan, Ann Arbor, MI, 48109, USA); Wang, Xiaohui (School of Materials Science and Engineering, Tsinghua University, Beijing, 100084, China); Kotov, Nicholas A. (Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Biointerface Institute, University of Michigan, Ann Arbor, MI, 48109, USA; Department of Materials Science and Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Center for Complex Particle Systems (COMPASS), University of Michigan, Ann Arbor, MI, 48109, USA; Department of Macromolecular Science and Engineering, University of Michigan, Ann Arbor, MI, 48109, USA; Department of Aeronautics, Faculty of Engineering, Imperial College London, South Kensington Campus, London, SW7 2AZ, UK)"
11/30/2023,10.3847/2041-8213/ad0da8,The Preexplosion Environments and the Progenitor of SN 2023ixf from the Hobby Eberly Telescope Dark Energy Experiment (HETDEX),"Liu, Chenxu (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Chen, Xinlei (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Er, Xinzhong (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Zeimann, Gregory R. (McDonald Observatory, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Vink , J zsef (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA; Konkoly Observatory, CSFK, Konkoly-Thege M.  t 15-17, Budapest, 1121, Hungary; ELTE E tv s Lor nd University, Institute of Physics, P zm ny P ter s t ny 1/A, Budapest, 1117, Hungary; Department of Experimental Physics, University of Szeged, D m t r 9, Szeged, 6720, Hungary); Wheeler, J. Craig (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Cooper, Erin Mentuch (McDonald Observatory, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA; Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Davis, Dustin (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Farrow, Daniel J. (Centre of Excellence for Data Science, Artificial Intelligence and Modelling, University of Hull, Cottingham Road, Hull, HU6 7RX, UK; E.A. Milne Centre for Astrophysics, University of Hull, Cottingham Road, Hull, HU6 7RX, UK); Gebhardt, Karl (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Guo, Helong (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Hill, Gary J. (McDonald Observatory, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA; Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); House, Lindsay (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Kollatschny, Wolfram (Institut f r Astrophysik und Geophysik, Universit t G ttingen, Friedrich-Hund Platz 1, D-37077 G ttingen, Germany); Kong, Fanchuan (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Kumar, Brajesh (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Liu, Xiangkun (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Tuttle, Sarah (Department of Astronomy, University of Washington, Seattle, Physics & Astronomy Building, Seattle, WA 98195, USA); Endl, Michael (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Duke, Parker (Department of Astronomy, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA); Cochran, William D. (McDonald Observatory, The University of Texas at Austin, 2515 Speedway Boulevard, Austin, TX 78712, USA; Center for Planetary Systems Habitability, The University of Texas at Austin, Austin, TX 78712, USA); Zhang, Jinghua (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn); Liu, Xiaowei (South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan, 650500, People's Republic of China, ;, cxliu@ynu.edu.cn)"
2023-12,10.1016/j.jmst.2023.05.044,Thermal stability and deformation mechanisms in Ni-Co-Fe-Cr-Al-Ti-Nb-type nanoparticle-strengthened high-entropy alloys,"Hou, J.X. (Department of Materials Science and Engineering; Hong Kong Institute for Advanced Study, City University of Hong Kong, Hong Kong, China); Zhang, J.Y. (Department of Materials Science and Engineering; Hong Kong Institute for Advanced Study, City University of Hong Kong, Hong Kong, China); Zhang, J.X. (Department of Materials Science and Engineering; Hong Kong Institute for Advanced Study, City University of Hong Kong, Hong Kong, China); Luan, J.H. (Department of Materials Science and Engineering; Hong Kong Institute for Advanced Study, City University of Hong Kong, Hong Kong, China); Wang, Y.X. (School of Materials Science and Engineering, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China); Cao, B.X. (School of Materials Science and Engineering, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China); Zhao, Y.L. (School of Materials Science and Engineering, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China); Jiao, Z.B. (Department of Mechanical Engineering, The Hong Kong Polytechnic University, Hong Kong, China); Liu, X.J. (School of Materials Science and Engineering, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China); Song, W.W. (Steel Institute, RWTH Aachen University, Aachen 52072, Germany; Institute of Materials Engineering, University of Kassel, Kassel 334125, Germany); Liaw, P.K. (Department of Materials Science and Engineering, The University of Tennessee, Knoxville, TN 37996-2200, USA); Yang, T. (Department of Materials Science and Engineering; Hong Kong Institute for Advanced Study, City University of Hong Kong, Hong Kong, China; City University of Hong Kong, China)"
2023-12,10.1016/j.geoen.2023.212300,Numerical investigation of a cavitating nozzle for jetting and rock erosion based on different turbulence models,"Apte, Dhruv (Kevin T. Crofton Department of Aerospace and Ocean Engineering, Virginia Tech, Blacksburg, 24060, VA, USA); Ge, Mingming (National Observation and Research Station of Coastal Ecological Environments in Macao, Macao Environmental Research Institute, Faculty of Innovation Engineering, Macau University of Science and Technology, Macao SAR, 999078, China; School of Engineering, Westlake University, Hangzhou, 310030, Zhejiang, China); Coutier-Delgosha, Olivier (Kevin T. Crofton Department of Aerospace and Ocean Engineering, Virginia Tech, Blacksburg, 24060, VA, USA; Arts et M tiers ParisTech, ONERA, CNRS, Univ. Lille, Centrale Lille, UMR 9014-LMFL-Laboratoire de M canique des Fluides de Lille-Kamp  de F riet, F-59000, Lille, France)"
