"wid","name","_riskflags","ASPIriskrating","_majordefenselabs","_defresearchareas","_subsidiaries","_ecoespmiscon","_supervisingagency","opensanctionsid","_uskta","type","flaggedby","reason","subreason","tid"
"21","CHINESE TELECOM CORP. GAOXIAN COUNTY BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902135"
"22","CHINESE TELECOM CORP. HEFENG WU YANG BRANCH OFFICE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902148"
"23","CHINESE TELECOM CORP. GAOYOU BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838349"
"24","CHINESE TELECOM CORP. MABIAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838318"
"25","CHINESE TELECOM CORP. LONGYOU BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838392"
"26","CHINESE TELECOM CORP. LONGHAI BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838391"
"27","CHINESE TELECOM CORP. LONGJIANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838386"
"28","CHINESE TELECOM CORP. LONGZHOU JINLONG TOWN BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902269"
"29","CHINESE TELECOM CORP. LONGZHOU BY BU XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902268"
"30","CHINESE TELECOM CORP. LONGZHOU ROM BACK TO BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902267"
"31","CHINESE TELECOM CORP. LONGZHOU DUSHAN BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902266"
"32","CHINESE TELECOM CORP. LONGZHOU WUSHU XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902264"
"33","CHINESE TELECOM CORP. LONGZHOU MR BRIDGE XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902263"
"34","CHINESE TELECOM CORP. LONGZHOU TOWN OF XIANGSHUI BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902262"
"35","CHINESE TELECOM CORP. LONGZHOU STAR ANISE XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902261"
"36","CHINESE TELECOM CORP. LONGZHOU PIONEER BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902260"
"37","CHINESE TELECOM CORP. LONGZHOU FREEZING TOWN BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902259"
"38","CHINESE TELECOM CORP. LONGZHOU PLIOSAURS XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902258"
"39","CHINESE TELECOM CORP. LONGZHOU ON DROP XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902257"
"40","CHINESE TELECOM CORP. LONGZHOU ON JINXIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902256"
"41","CHINA TELECOM CO., LTD. LONGCHUAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838382"
"42","CHINESE TELECOM CORP. JINGXI SOUTHERN SLOPE XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431871"
"43","CHINESE TELECOM CORP. JINGJIANG MA BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838265"
"44","CHINESE TELECOM CORP. JINGJIANG RICK BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838264"
"45","CHINESE TELECOM CORP. JINGJIANG CHANGAN BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838263"
"46","CHINESE TELECOM CORP. JINGJIANG RIVER BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838262"
"47","CHINESE TELECOM CORP. JINGJIANG WEST TO BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838261"
"48","CHINA TELECOM CO., LTD. JINGJIANG HONGGUANG SALES DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838260"
"49","CHINESE TELECOM CORP. JINGJIANG LI SHI BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838259"
"50","CHINESE TELECOM CORP. JINGXI TONGDE XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431872"
"51","CHINESE TELECOM CORP. JINGJIANG STUDENTS TEMPLE BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838258"
"52","CHINESE TELECOM CORP. JINGJIANG NEW BRIDGE BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838257"
"53","CHINESE TELECOM CORP. JINGJIANG SKEW BRIDGE BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838256"
"54","CHINESE TELECOM CORP. JINGJIANG LONDON RIGHTEOUSNESS BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838255"
"55","CHINESE TELECOM CORP. JINGJIANG GU SHAN BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838253"
"56","CHINESE TELECOM CORP. JINGJIANG SEASON CITY BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902052"
"57","CHINESE TELECOM CORP. JING BIG JIANG SLEEP BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838252"
"58","CHINESE TELECOM CORP. JINGJIANG NORTH OF CITY BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838251"
"59","CHINESE TELECOM CORP. JINGJIANG CYPRESS BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902054"
"60","CHINESE TELECOM CORP. JINGJIANG CITY BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838250"
"61","CHINA TELECOM CO., LTD. JINGYUAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838267"
"62","CHINESE TELECOM CORP. JINGXI REN ZHUANG XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431874"
"63","CHINESE TELECOM CORP. JINGXI FRUIT LE XIANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431883"
"64","CHINESE TELECOM CORP. JINGJIANG LAND BRIDGE BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902051"
"65","CHINESE TELECOM CORP. JINGJIANG UNITY BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902050"
"66","CHINESE TELECOM CORP. JINGJIANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838249"
"67","CHINESE TELECOM CORP. QINGCHUAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838228"
"68","CHINESE TELECOM CORP. JINGJIANG EIGHT WEI BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838248"
"69","CHINA TELECOM CO., LTD. JINGJIANG RENMIN SOUTH ROAD SALES DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838247"
"70","CHINESE TELECOM CORP. JINGJIANG DONGXING BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838246"
"71","CHINESE TELECOM CORP. JINGZHOU BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838245"
"72","CHINESE TELECOM CORP. MA MIDDLE SCHOOL ROAD BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431892"
"73","CHINESE TELECOM CORP. SHUNCHANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838289"
"74","CHINESE TELECOM CORP. SHAOGUAN DOUBLE NINTH FESTIVAL CUSTOMER SERVICE CENTRE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902085"
"75","CHINA TELECOM CO., LTD. SHAOGUAN HUAPING CUSTOMER SERVICE CENTER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902084"
"76","CHINESE TELECOM CORP. LANGAO DEMOCRACY BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898749"
"77","CHINESE TELECOM CORP. LANGAO OFFICER YUAN BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898748"
"78","CHINESE TELECOM CORP. LANGAO MENG SHILING BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898747"
"79","CHINESE TELECOM CORP. LANGAO AVENUE BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898746"
"80","CHINESE TELECOM CORP. LANGAO BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836684"
"81","CHINESE TELECOM CORP. LANGAO SIX BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898745"
"82","CHINESE TELECOM CORP. LANGAO ZUO DRAGON BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898744"
"83","CHINESE TELECOM CORP. LANGAO TAO RIVER BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898750"
"84","CHINESE TELECOM CORP. LANGAO SHIMEN BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898751"
"85","CHINESE TELECOM CORP. LANGAO LIN RIVER BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898753"
"86","CHINESE TELECOM CORP. MINXIAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836694"
"87","CHINESE TELECOM CORP. LANGAO FLOWERS LI BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898752"
"88","CHINA TELECOM CO., LTD. YUEYANG COUNTY BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836693"
"89","CHINA TELECOM CO., LTD. YUECHI BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836690"
"90","CHINA TELECOM CO., LTD. DAISHAN CHANGTU BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836689"
"91","CHINA TELECOM CO., LTD. DAISHAN QUSHAN BUSINESS OFFICE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836688"
"92","CHINA TELECOM CO., LTD. DAISHAN GONGMEN BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836687"
"93","CHINA TELECOM CO., LTD. DAISHAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836686"
"94","CHINA TELECOMMUNICATIONS CO., LTD. YUEYANG CLOUD CREEK SUBSTATION",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836692"
"95","CHINESE TELECOM CORP. FUYUN DU HEAT XIANG CUSTOMER SERVICE DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898696"
"96","CHINA TELECOM CO., LTD. FUYUN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836658"
"97","CHINESE TELECOM CORP. FUYUN COPPER MINE CUSTOMER SERVICE DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898701"
"98","CHINESE TELECOM CORP. SHEYANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836671"
"99","CHINESE TELECOM CORP. SHOUGUANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836663"
"100","CHINESE TELECOM CORP. CHANGZHOU BEFORE HUANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836725"
"101","CHINESE TELECOM CORP. CHANGZHOU BEN CATTLE BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898849"
"102","CHINESE TELECOM CORP. CHANGZHOU LUO XI BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898855"
"103","CHINESE TELECOM CORP. CHANGZHOU HUANG LI BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836740"
"104","CHINESE TELECOM CORP. CHANGZHOU HUTANG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836739"
"105","CHINESE TELECOM CORP. CHANGZHOU NEW DISTRICT BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836734"
"106","CHINESE TELECOM CORP. CHANGZHOU ZHAI BRIDGE BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898850"
"107","CHINA TELECOM CO., LTD. SHENGSI HUANGLONG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836705"
"108","CHINA TELECOM CO., LTD. SHENGSI YANGSHAN BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836704"
"109","CHINA TELECOM CO., LTD. SHENGSI BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836703"
"110","CHINA TELECOM CO., LTD. SHENGSI YUNLONG ROAD BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836702"
"111","CHINESE TELECOM CORP. SHENGZHOU BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836701"
"112","CHINESE TELECOM CORP. BAYAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836711"
"113","CHINESE TELECOM CORP. WUXI CENTER BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898796"
"114","CHINA TELECOMMUNICATIONS CO., LTD. YICHANG BRIDGE BESIDE BUSINESS OFFICE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431483"
"115","CHINESE TELECOM CORP. YICHANG TUCHENG BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431482"
"116","CHINESE TELECOM CORP. YICHANG XIAOTING BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431484"
"117","CHINESE TELECOM CORP. YIXING WHALE TANG BUSINESS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836630"
"118","CHINA TELECOMMUNICATIONS CO., LTD. YICHANG AI HOME BUSINESS OFFICE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431485"
"119","CHINESE TELECOM CORP. YI XING FANG ZHUANG BUSINESS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836629"
"120","CHINESE TELECOM CORP. YIXING RETURN DIAMETER BUSINESS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836626"
"121","CHINESE TELECOM CORP. YIXING ZHANG ZHU BUSINESS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898552"
"122","CHINESE TELECOM CORP. YIXING WAN SHI BUSINESS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898548"
"123","CHINESE TELECOM CORP. KUANDIAN BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836651"
"124","CHINESE TELECOM CORP. YIDU LI PING OPERATING DEPARTMENT OF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431519"
"125","CHINESE TELECOM CORP. YIDU SONG MOUNTAIN OPERATING DEPARTMENT OF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431510"
"126","CHINESE TELECOM CORP. BAOYING HUANGPU BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329898604"
"127","CHINESE TELECOM CORP. BAOYING HUANG CHENG BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836642"
"128","CHINESE TELECOM CORP. BAOYING WANG STRAIGHT PORT BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836640"
"129","CHINESE TELECOM CORP. BAOYING BALANCE BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836639"
"130","CHINESE TELECOM CORP. BAOYING BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836638"
"131","CHINESE TELECOM CORP. BAOYING UNDER SHED BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836637"
"132","CHINA TELECOM CO., LTD. CHANGZHOU YAOGUAN BUSINESS HALL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836747"
"133","CHINESE TELECOM CORP. ZHANGJIAGANG TELECOM BUILDING BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329899059"
"134","CHINESE TELECOM CORP. ZHANGJIAGANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270836886"
"135","CHINESE TELECOM CORP. DANGYANG CHEN HOSPITAL OPERATING DEPARTMENT OF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"421431566"
