"tid","topicid","topicname","subfieldid","subfieldname","fieldid","fieldname","domainid","domainname"
"27","https://openalex.org/T11277","Thermal properties of materials","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"28","https://openalex.org/T10090","ZnO doping and properties","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"29","https://openalex.org/T10623","Thin-Film Transistor Technologies","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"30","https://openalex.org/T10472","Semiconductor materials and devices","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"31","https://openalex.org/T10281","Advanced Battery Materials and Technologies","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"32","https://openalex.org/T10018","Advancements in Battery Materials","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"33","https://openalex.org/T12557","Inorganic Chemistry and Materials","https://openalex.org/subfields/1604","Inorganic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"34","https://openalex.org/T13217","Pigment Synthesis and Properties","https://openalex.org/subfields/1604","Inorganic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"35","https://openalex.org/T10633","Metallic Glasses and Amorphous Alloys","https://openalex.org/subfields/2210","Mechanical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"36","https://openalex.org/T12202","nanoparticles nucleation surface interactions","https://openalex.org/subfields/1902","Atmospheric Science","https://openalex.org/fields/19","Earth and Planetary Sciences","https://openalex.org/domains/3","Physical Sciences"
"37","https://openalex.org/T10939","Crystal Structures and Properties","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"38","https://openalex.org/T11315","Phase-change materials and chalcogenides","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"39","https://openalex.org/T10413","High-pressure geophysics and materials","https://openalex.org/subfields/1908","Geophysics","https://openalex.org/fields/19","Earth and Planetary Sciences","https://openalex.org/domains/3","Physical Sciences"
"40","https://openalex.org/T11708","Photochromic and Fluorescence Chemistry","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"41","https://openalex.org/T10903","Porphyrin and Phthalocyanine Chemistry","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"42","https://openalex.org/T14318","Polydiacetylene-based materials and applications","https://openalex.org/subfields/1605","Organic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"43","https://openalex.org/T10591","Theoretical and Computational Physics","https://openalex.org/subfields/3104","Condensed Matter Physics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"44","https://openalex.org/T10037","Physics of Superconductivity and Magnetism","https://openalex.org/subfields/3104","Condensed Matter Physics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"45","https://openalex.org/T10666","Photonic Crystals and Applications","https://openalex.org/subfields/3107","Atomic and Molecular Physics, and Optics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"46","https://openalex.org/T10936","Millimeter-Wave Propagation and Modeling","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"47","https://openalex.org/T10262","Microwave Engineering and Waveguides","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"48","https://openalex.org/T12149","Nanocluster Synthesis and Applications","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"49","https://openalex.org/T11279","Lanthanide and Transition Metal Complexes","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"50","https://openalex.org/T10611","Organic Light-Emitting Diodes Research","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"51","https://openalex.org/T10590","Chalcogenide Semiconductor Thin Films","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"52","https://openalex.org/T11298","Synthesis and Properties of Aromatic Compounds","https://openalex.org/subfields/1605","Organic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"53","https://openalex.org/T10956","Fullerene Chemistry and Applications","https://openalex.org/subfields/1605","Organic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"54","https://openalex.org/T11240","Luminescence and Fluorescent Materials","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"55","https://openalex.org/T10382","Quantum and electron transport phenomena","https://openalex.org/subfields/3107","Atomic and Molecular Physics, and Optics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"56","https://openalex.org/T10913","Molecular Junctions and Nanostructures","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"57","https://openalex.org/T11449","Mechanical and Optical Resonators","https://openalex.org/subfields/3107","Atomic and Molecular Physics, and Optics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"58","https://openalex.org/T11228","Bat Biology and Ecology Studies","https://openalex.org/subfields/1105","Ecology, Evolution, Behavior and Systematics","https://openalex.org/fields/11","Agricultural and Biological Sciences","https://openalex.org/domains/1","Life Sciences"
"59","https://openalex.org/T12250","Experimental and Theoretical Physics Studies","https://openalex.org/subfields/3109","Statistical and Nonlinear Physics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"60","https://openalex.org/T12677","Sports Dynamics and Biomechanics","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"61","https://openalex.org/T10725","RNA Interference and Gene Delivery","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"62","https://openalex.org/T11020","Immune Cell Function and Interaction","https://openalex.org/subfields/2403","Immunology","https://openalex.org/fields/24","Immunology and Microbiology","https://openalex.org/domains/1","Life Sciences"
"63","https://openalex.org/T10981","Cytomegalovirus and herpesvirus research","https://openalex.org/subfields/2713","Epidemiology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"64","https://openalex.org/T10299","Photonic and Optical Devices","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"65","https://openalex.org/T10205","Advanced Fiber Optic Sensors","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"66","https://openalex.org/T10295","Plasmonic and Surface Plasmon Research","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"67","https://openalex.org/T10570","Drug Transport and Resistance Mechanisms","https://openalex.org/subfields/2730","Oncology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"68","https://openalex.org/T12229","Pharmacological Effects and Toxicity Studies","https://openalex.org/subfields/2735","Pediatrics, Perinatology and Child Health","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"69","https://openalex.org/T10915","Trace Elements in Health","https://openalex.org/subfields/2916","Nutrition and Dietetics","https://openalex.org/fields/29","Nursing","https://openalex.org/domains/4","Health Sciences"
"70","https://openalex.org/T10474","Material Dynamics and Properties","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"71","https://openalex.org/T13232","Laser-Ablation Synthesis of Nanoparticles","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"72","https://openalex.org/T13199","Digestive system and related health","https://openalex.org/subfields/1311","Genetics","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"73","https://openalex.org/T10276","Helicobacter pylori-related gastroenterology studies","https://openalex.org/subfields/2746","Surgery","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"74","https://openalex.org/T11486","Micro and Nano Robotics","https://openalex.org/subfields/3104","Condensed Matter Physics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"75","https://openalex.org/T11737","Advanced Materials and Mechanics","https://openalex.org/subfields/2210","Mechanical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"76","https://openalex.org/T10543","Prostate Cancer Treatment and Research","https://openalex.org/subfields/2740","Pulmonary and Respiratory Medicine","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"77","https://openalex.org/T11041","Ubiquitin and proteasome pathways","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"78","https://openalex.org/T12065","Hippo pathway signaling and YAP/TAZ","https://openalex.org/subfields/1307","Cell Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"79","https://openalex.org/T10660","Conducting polymers and applications","https://openalex.org/subfields/2507","Polymers and Plastics","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"80","https://openalex.org/T10257","Oral microbiology and periodontitis research","https://openalex.org/subfields/3506","Periodontics","https://openalex.org/fields/35","Dentistry","https://openalex.org/domains/4","Health Sciences"
"81","https://openalex.org/T11597","Neutrophil, Myeloperoxidase and Oxidative Mechanisms","https://openalex.org/subfields/2403","Immunology","https://openalex.org/fields/24","Immunology and Microbiology","https://openalex.org/domains/1","Life Sciences"
"82","https://openalex.org/T13768","Oral and gingival health research","https://openalex.org/subfields/3611","Pharmacy","https://openalex.org/fields/36","Health Professions","https://openalex.org/domains/4","Health Sciences"
"83","https://openalex.org/T11442","Titanium Alloys Microstructure and Properties","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"84","https://openalex.org/T10377","Metal and Thin Film Mechanics","https://openalex.org/subfields/2211","Mechanics of Materials","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"85","https://openalex.org/T11766","Iron-based superconductors research","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"86","https://openalex.org/T10607","Magnetic and transport properties of perovskites and related materials","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"87","https://openalex.org/T12529","Ga2O3 and related materials","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"88","https://openalex.org/T10099","GaN-based semiconductor devices and materials","https://openalex.org/subfields/3104","Condensed Matter Physics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"89","https://openalex.org/T10649","Multiple Myeloma Research and Treatments","https://openalex.org/subfields/2720","Hematology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"90","https://openalex.org/T12534","Protein Degradation and Inhibitors","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"91","https://openalex.org/T12505","Peptidase Inhibition and Analysis","https://openalex.org/subfields/2730","Oncology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"92","https://openalex.org/T10009","Dementia and Cognitive Impairment Research","https://openalex.org/subfields/2738","Psychiatry and Mental health","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"93","https://openalex.org/T10867","Intensive Care Unit Cognitive Disorders","https://openalex.org/subfields/2706","Critical Care and Intensive Care Medicine","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"94","https://openalex.org/T13695","Aging, Elder Care, and Social Issues","https://openalex.org/subfields/3600","General Health Professions","https://openalex.org/fields/36","Health Professions","https://openalex.org/domains/4","Health Sciences"
"95","https://openalex.org/T10086","Alzheimer's disease research and treatments","https://openalex.org/subfields/2737","Physiology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"96","https://openalex.org/T12023","Cholinesterase and Neurodegenerative Diseases","https://openalex.org/subfields/2736","Pharmacology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"97","https://openalex.org/T12110","Bone and Dental Protein Studies","https://openalex.org/subfields/2745","Rheumatology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"98","https://openalex.org/T11969","Fluoride Effects and Removal","https://openalex.org/subfields/2312","Water Science and Technology","https://openalex.org/fields/23","Environmental Science","https://openalex.org/domains/3","Physical Sciences"
"99","https://openalex.org/T10368","Dental Health and Care Utilization","https://openalex.org/subfields/3506","Periodontics","https://openalex.org/fields/35","Dentistry","https://openalex.org/domains/4","Health Sciences"
"100","https://openalex.org/T10269","Epigenetics and DNA Methylation","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"101","https://openalex.org/T11712","Intergenerational Family Dynamics and Caregiving","https://openalex.org/subfields/3312","Sociology and Political Science","https://openalex.org/fields/33","Social Sciences","https://openalex.org/domains/2","Social Sciences"
"102","https://openalex.org/T10416","Traumatic Brain Injury Research","https://openalex.org/subfields/2713","Epidemiology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"103","https://openalex.org/T10706","Traumatic Brain Injury and Neurovascular Disturbances","https://openalex.org/subfields/2728","Neurology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"104","https://openalex.org/T10645","Cardiac Arrest and Resuscitation","https://openalex.org/subfields/2711","Emergency Medicine","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"105","https://openalex.org/T10887","Bioinformatics and Genomic Networks","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"106","https://openalex.org/T10241","Functional Brain Connectivity Studies","https://openalex.org/subfields/2805","Cognitive Neuroscience","https://openalex.org/fields/28","Neuroscience","https://openalex.org/domains/1","Life Sciences"
"107","https://openalex.org/T10465","Neurobiology of Language and Bilingualism","https://openalex.org/subfields/2805","Cognitive Neuroscience","https://openalex.org/fields/28","Neuroscience","https://openalex.org/domains/1","Life Sciences"
"108","https://openalex.org/T12038","Covalent Organic Framework Applications","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"109","https://openalex.org/T11304","Advanced Neuroimaging Techniques and Applications","https://openalex.org/subfields/2741","Radiology, Nuclear Medicine and Imaging","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"110","https://openalex.org/T11915","Pickering emulsions and particle stabilization","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"111","https://openalex.org/T10721","Surfactants and Colloidal Systems","https://openalex.org/subfields/1605","Organic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"112","https://openalex.org/T10405","Advanced Polymer Synthesis and Characterization","https://openalex.org/subfields/1605","Organic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"113","https://openalex.org/T11651","Inhalation and Respiratory Drug Delivery","https://openalex.org/subfields/2740","Pulmonary and Respiratory Medicine","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"114","https://openalex.org/T10131","Gold and Silver Nanoparticles Synthesis and Applications","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"115","https://openalex.org/T10407","Lipid Membrane Structure and Behavior","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"116","https://openalex.org/T10810","Polymer composites and self-healing","https://openalex.org/subfields/2507","Polymers and Plastics","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"117","https://openalex.org/T11362","Membrane Separation and Gas Transport","https://openalex.org/subfields/2210","Mechanical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"118","https://openalex.org/T10886","Multiferroics and related materials","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"119","https://openalex.org/T10612","Magnetism in coordination complexes","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"120","https://openalex.org/T10207","Advanced biosensing and bioanalysis techniques","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"121","https://openalex.org/T10532","Molecular Sensors and Ion Detection","https://openalex.org/subfields/1607","Spectroscopy","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"122","https://openalex.org/T10432","DNA and Nucleic Acid Chemistry","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"123","https://openalex.org/T10973","Radioactive element chemistry and processing","https://openalex.org/subfields/1604","Inorganic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"124","https://openalex.org/T12613","X-ray Diffraction in Crystallography","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"125","https://openalex.org/T12646","Inorganic Fluorides and Related Compounds","https://openalex.org/subfields/1604","Inorganic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"126","https://openalex.org/T12875","Thermal Expansion and Ionic Conductivity","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"127","https://openalex.org/T10321","Quantum Dots Synthesis And Properties","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"128","https://openalex.org/T11342","Carbon and Quantum Dots Applications","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"129","https://openalex.org/T12850","Field-Flow Fractionation Techniques","https://openalex.org/subfields/2206","Computational Mechanics","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"130","https://openalex.org/T11324","Spectroscopy Techniques in Biomedical and Chemical Research","https://openalex.org/subfields/1304","Biophysics","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"131","https://openalex.org/T11948","Machine Learning in Materials Science","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"132","https://openalex.org/T10158","Cancer Immunotherapy and Biomarkers","https://openalex.org/subfields/2730","Oncology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"133","https://openalex.org/T11491","CAR-T cell therapy research","https://openalex.org/subfields/2730","Oncology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"134","https://openalex.org/T10336","Cancer Cells and Metastasis","https://openalex.org/subfields/2730","Oncology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"135","https://openalex.org/T10631","Cancer, Hypoxia, and Metabolism","https://openalex.org/subfields/1306","Cancer Research","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"136","https://openalex.org/T12996","Cancer Research and Treatments","https://openalex.org/subfields/1305","Biotechnology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"137","https://openalex.org/T10114","Balance, Gait, and Falls Prevention","https://openalex.org/subfields/3612","Physical Therapy, Sports Therapy and Rehabilitation","https://openalex.org/fields/36","Health Professions","https://openalex.org/domains/4","Health Sciences"
"138","https://openalex.org/T10784","Muscle activation and electromyography studies","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"139","https://openalex.org/T11023","Prosthetics and Rehabilitation Robotics","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"140","https://openalex.org/T11289","Single-cell and spatial transcriptomics","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"141","https://openalex.org/T10552","Colorectal Cancer Screening and Detection","https://openalex.org/subfields/2730","Oncology","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
