"gid","funderid","fundername","awardid"
"72",NULL,"Office of Science",NULL
"73",NULL,"Basic Energy Sciences",NULL
"74",NULL,"Army Research Office",NULL
"75",NULL,"Gordon and Betty Moore Foundation",NULL
"76",NULL,"National Science Foundation",NULL
"77",NULL,"U.S. Department of Commerce",NULL
"78",NULL,"Army Research Office",NULL
"79",NULL,"National Science Foundation",NULL
"80",NULL,"National Natural Science Foundation of China",NULL
"81",NULL,"National Science Foundation",NULL
"82",NULL,"Army Research Office",NULL
"83",NULL,"DEVCOM Army Research Laboratory",NULL
"84",NULL,"National Science Foundation",NULL
"85",NULL,"Basic Energy Sciences",NULL
"86",NULL,"Army Research Office",NULL
"87",NULL,"Natural Science Foundation of Zhejiang Province",NULL
"88",NULL,"Science and Engineering Research Board",NULL
"89",NULL,"Army Research Office",NULL
"90",NULL,"Science and Engineering Research Board",NULL
"91",NULL,"Division of Materials Research",NULL
"92",NULL,"National Science Foundation",NULL
"93",NULL,"National Science Foundation",NULL
"94",NULL,"National Science Foundation",NULL
"95",NULL,"Deutsche Forschungsgemeinschaft",NULL
"96",NULL,"Air Force Office of Scientific Research",NULL
"97",NULL,"Development and Reform Commission of Shenzhen Municipality",NULL
"98",NULL,"Shenzhen Fundamental Research Program",NULL
"99",NULL,"Russian Science Foundation",NULL
"100",NULL,"Office of Naval Research",NULL
"101",NULL,"Army Research Office",NULL
"102",NULL,"National Science Foundation",NULL
"103",NULL,"Office of Naval Research",NULL
"104",NULL,"National Science Foundation",NULL
"105",NULL,"U.S. Department of Energy",NULL
"106",NULL,"Gordon and Betty Moore Foundation",NULL
"107",NULL,"National Science Foundation",NULL
"108",NULL,"Danmarks Frie Forskningsfond",NULL
"109",NULL,"Defense Advanced Research Projects Agency",NULL
"110",NULL,"Teknologi og Produktion, Det Frie Forskningsråd",NULL
"111",NULL,"National Science Foundation",NULL
"112",NULL,"National Natural Science Foundation of China",NULL
"113",NULL,"Generalitat Valenciana",NULL
"114",NULL,"Institute for Basic Science",NULL
"115",NULL,"Generalitat Valenciana",NULL
"116",NULL,"Fundação para a Ciência e a Tecnologia",NULL
"117",NULL,"Fundamental Research Fund of Shandong University",NULL
"118",NULL,"Office of Naval Research",NULL
"119",NULL,"National Natural Science Foundation of China",NULL
"120",NULL,"National Natural Science Foundation of China",NULL
"121",NULL,"China Scholarship Council",NULL
"122",NULL,"National Institutes of Health",NULL
"123",NULL,"National Natural Science Foundation of China",NULL
"124",NULL,"National Natural Science Foundation of China",NULL
"125",NULL,"National Institutes of Health",NULL
"126",NULL,"National Natural Science Foundation of China",NULL
"127",NULL,"National Institutes of Health",NULL
"128",NULL,"National Cancer Institute",NULL
"129",NULL,"American Cancer Society",NULL
"130",NULL,"National Institutes of Health",NULL
"131",NULL,"National Research Foundation of Korea",NULL
"132",NULL,"National Research Foundation of Korea",NULL
"133",NULL,"National Research Foundation of Korea",NULL
"134",NULL,"National Research Foundation of Korea",NULL
"135",NULL,"National Research Foundation of Korea",NULL
"136",NULL,"National Science Foundation",NULL
"137",NULL,"National Science Foundation",NULL
"138",NULL,"National Science Foundation",NULL
"139",NULL,"National Science Foundation",NULL
"140",NULL,"National Science Foundation",NULL
"141",NULL,"National Science Foundation",NULL
"142",NULL,"National Science Foundation",NULL
"143",NULL,"National Science Foundation",NULL
"144",NULL,"National Natural Science Foundation of China",NULL
"145",NULL,"Higher Education Commision, Pakistan",NULL
"146",NULL,"National Science Foundation",NULL
"147",NULL,"Office of Naval Research",NULL
"148",NULL,"National Cancer Institute",NULL
"149",NULL,"National Cancer Institute",NULL
"150",NULL,"U.S. Department of Defense",NULL
"151",NULL,"U.S. Department of Defense",NULL
"152",NULL,"National Cancer Institute",NULL
"153",NULL,"Army Research Office",NULL
"154",NULL,"Terry Fox Research Institute",NULL
"155",NULL,"BC Cancer Foundation",NULL
"156",NULL,"Canadian Institutes of Health Research",NULL
"157",NULL,"U.S. Department of Defense",NULL
"158",NULL,"Canadian Institutes of Health Research",NULL
"159",NULL,"Canadian Institutes of Health Research",NULL
"160",NULL,"Canadian Institutes of Health Research",NULL
"161",NULL,"National Institutes of Health",NULL
"162",NULL,"Canadian Institutes of Health Research",NULL
"163",NULL,"Cancer Research Society",NULL
"164",NULL,"Canadian Institutes of Health Research",NULL
"165",NULL,"Prostate Cancer UK",NULL
"166",NULL,"Engineering and Physical Sciences Research Council",NULL
"167",NULL,"Office of Naval Research",NULL
"168",NULL,"King Abdullah University of Science and Technology",NULL
"169",NULL,"National Natural Science Foundation of China",NULL
"170",NULL,"National Natural Science Foundation of China",NULL
"171",NULL,"Army Research Office",NULL
"172",NULL,"City University of Hong Kong",NULL
"173",NULL,"National Natural Science Foundation of China",NULL
"174",NULL,"National Science Foundation",NULL
"175",NULL,"Army Research Office",NULL
"176",NULL,"National Science Foundation",NULL
"177",NULL,"Army Research Office",NULL
"178","https://openalex.org/F4320338281","Army Research Office","W911NF2020166"
"179","https://openalex.org/F4320306084","U.S. Department of Energy","DE‐SC0018153"
"180","https://openalex.org/F4320306202","Gordon and Betty Moore Foundation","GBMF10104"
"181","https://openalex.org/F4320321001","National Natural Science Foundation of China","12304541"
"182","https://openalex.org/F4320306084","U.S. Department of Energy","DE‐SC0012704"
"183","https://openalex.org/F4320321001","National Natural Science Foundation of China","12074195"
"184","https://openalex.org/F4320321001","National Natural Science Foundation of China","1221101035"
"185","https://openalex.org/F4320321885","Science and Technology Commission of Shanghai Municipality","20DZ2203600"
"186","https://openalex.org/F4320321001","National Natural Science Foundation of China","91964102"
"187","https://openalex.org/F4320321001","National Natural Science Foundation of China","12225205"
"188","https://openalex.org/F4320321001","National Natural Science Foundation of China","T2293691"
"189","https://openalex.org/F4320321001","National Natural Science Foundation of China","12004406"
"190","https://openalex.org/F4320321001","National Natural Science Foundation of China","51772317"
"191","https://openalex.org/F4320321001","National Natural Science Foundation of China","22073048"
"192","https://openalex.org/F4320321543","China Postdoctoral Science Foundation","2021M703338"
"193","https://openalex.org/F4320322769","Natural Science Foundation of Jiangsu Province","BK20220872"
"194","https://openalex.org/F4320321543","China Postdoctoral Science Foundation","BX2021331"
"195","https://openalex.org/F4320322320","King Abdullah University of Science and Technology","ORA‐CRG10‐2021‐4665"
"196","https://openalex.org/F4320335777","National Key Research and Development Program of China","2022YFA1402801"
"197","https://openalex.org/F4320321001","National Natural Science Foundation of China","52161160334"
"198","https://openalex.org/F4320338281","Army Research Office","W911NF‐20‐2‐0166"
"199","https://openalex.org/F4320321001","National Natural Science Foundation of China","12134017"
"200","https://openalex.org/F4320321001","National Natural Science Foundation of China","12074057"
"201","https://openalex.org/F4320335777","National Key Research and Development Program of China","2022YFA1402802"
"202","https://openalex.org/F4320321001","National Natural Science Foundation of China","52271239"
"203","https://openalex.org/F4320338281","Army Research Office","W911NF‐16‐1‐0472"
"204","https://openalex.org/F4320321001","National Natural Science Foundation of China","12204089"
"205","https://openalex.org/F4320322320","King Abdullah University of Science and Technology","ORA‐CRG8‐2019‐4081"
"206","https://openalex.org/F4320321001","National Natural Science Foundation of China","52125306"
"207","https://openalex.org/F4320337345","Office of Naval Research","N00014‐21‐1‐2181"
"208","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550‐22‐1‐0526"
"209","https://openalex.org/F4320337538","U.S. Army Corps of Engineers","W912HZ‐21‐2‐0050"
"210","https://openalex.org/F4320337713","Vehicle Technologies Office","DE‐AC05‐76RL01830"
"211","https://openalex.org/F4320337345","Office of Naval Research","N00014‐23‐1‐2818"
"212","https://openalex.org/F4320338281","Army Research Office","W911NF‐19‐1‐0137"
"213","https://openalex.org/F4320337345","Office of Naval Research","N00014‐20‐1‐2297"
"214","https://openalex.org/F4320306076","National Science Foundation","2122071"
"215","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550‐22‐1‐0117"
"216","https://openalex.org/F4320306076","National Science Foundation","1906325"
"217","https://openalex.org/F4320306076","National Science Foundation","2145797"
"218","https://openalex.org/F4320306076","National Science Foundation","2122070"
"219","https://openalex.org/F4320332359","Office of Science","DE‐AC02‐05CH11231"
"220","https://openalex.org/F4320306076","National Science Foundation","0521267"
"221","https://openalex.org/F4320306076","National Science Foundation","1048773"
"222","https://openalex.org/F4320306076","National Science Foundation","1720139"
"223","https://openalex.org/F4320338281","Army Research Office","W911NF1910340"
"224","https://openalex.org/F4320306076","National Science Foundation","1542205"
"225","https://openalex.org/F4320306076","National Science Foundation","DMR‐1810163"
"226","https://openalex.org/F4320306111","U.S. Department of Commerce","70NANB19H138"
"227","https://openalex.org/F4320338281","Army Research Office","W911NF‐19‐S‐0008"
"228","https://openalex.org/F4320306076","National Science Foundation","OIA‐2229498"
"229","https://openalex.org/F4320321001","National Natural Science Foundation of China","12304089"
"230","https://openalex.org/F4320306076","National Science Foundation","DMR‐1411085"
"231","https://openalex.org/F4320338281","Army Research Office","W911NF16‐1‐0472"
"232","https://openalex.org/F4320337480","Basic Energy Sciences","FWP ERKCK47"
"233","https://openalex.org/F4320338281","Army Research Office","W911NF‐18‐1‐0431"
"234","https://openalex.org/F4320306202","Gordon and Betty Moore Foundation","GBMF8048"
"235","https://openalex.org/F4320338456","DEVCOM Army Research Laboratory","W911NF‐24‐2‐0100"
"236","https://openalex.org/F4320306076","National Science Foundation","DMR‐1719875"
"237","https://openalex.org/F4320337480","Basic Energy Sciences","DE‐SC‐0012375"
"238","https://openalex.org/F4320338281","Army Research Office","W911NF‐21‐2‐0162"
"239","https://openalex.org/F4320338464","Natural Science Foundation of Zhejiang Province","2022XHSJJ006"
"240","https://openalex.org/F4320334771","Science and Engineering Research Board","SRG/2022/000058"
"241","https://openalex.org/F4320338281","Army Research Office","W911NF‐21‐1‐0118"
"242","https://openalex.org/F4320334771","Science and Engineering Research Board","EEQ/2023/000089"
"243","https://openalex.org/F4320337367","Division of Materials Research","DMR‐2039380"
"244","https://openalex.org/F4320306076","National Science Foundation","2138259"
"245","https://openalex.org/F4320306076","National Science Foundation","NSF‐2211616"
"246","https://openalex.org/F4320306076","National Science Foundation","NSF‐1954780"
"247","https://openalex.org/F4320320879","Deutsche Forschungsgemeinschaft","CRC/TRR 196"
"248","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550‐22‐1‐0412"
"249","https://openalex.org/F4320327511","Development and Reform Commission of Shenzhen Municipality","XMHT20220106002"
"250","https://openalex.org/F4320329791","Shenzhen Fundamental Research Program","GXWD20201231165807007‐20200810113811001"
"251","https://openalex.org/F4320324099","Russian Science Foundation","19‐73‐20196"
"252","https://openalex.org/F4320322928","Danmarks Frie Forskningsfond","DFF 4181‐00206"
"253","https://openalex.org/F4320332180","Defense Advanced Research Projects Agency","HR0011‐23‐9‐0109"
"254","https://openalex.org/F4320310484","Teknologi og Produktion, Det Frie Forskningsråd","9040‐00265"
"255","https://openalex.org/F4320306076","National Science Foundation","2304946"
"256","https://openalex.org/F4320321001","National Natural Science Foundation of China","22301200"
"257","https://openalex.org/F4320333622","Fundamental Research Fund of Shandong University","2014QY008"
"258","https://openalex.org/F4320337345","Office of Naval Research","N00014‐17‐1‐2376"
"259","https://openalex.org/F4320321001","National Natural Science Foundation of China","11374192"
"260","https://openalex.org/F4320321001","National Natural Science Foundation of China","11574183"
"261","https://openalex.org/F4320322725","China Scholarship Council","201806220156"
"262","https://openalex.org/F4320338281","Army Research Office","W911NF‐21‐1‐0327"
"263","https://openalex.org/F4320306076","National Science Foundation","DMR‐1720415"
"264","https://openalex.org/F4320306076","National Science Foundation","DMR‐2122071"
"265","https://openalex.org/F4320306084","U.S. Department of Energy","DE‐FG02‐0746376"
"266","https://openalex.org/F4320306202","Gordon and Betty Moore Foundation","GBMF9459"
"267","https://openalex.org/F4320306076","National Science Foundation","CHE‐1834750"
"268","https://openalex.org/F4320332161","National Institutes of Health","R21NS114455"
"269","https://openalex.org/F4320321001","National Natural Science Foundation of China","82102203"
"270","https://openalex.org/F4320321001","National Natural Science Foundation of China","52103199"
"271","https://openalex.org/F4320332161","National Institutes of Health","R01CA266981"
"272","https://openalex.org/F4320321001","National Natural Science Foundation of China","31971302"
"273","https://openalex.org/F4320332161","National Institutes of Health","R35GM143014"
"274","https://openalex.org/F4320337351","National Cancer Institute","P30 CA016059"
"275","https://openalex.org/F4320306095","American Cancer Society","RSG‐22‐055‐01‐IBCD"
"276","https://openalex.org/F4320332161","National Institutes of Health","R01AI168684"
"277","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF‐2022M3C1A3081312"
"278","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF‐2021R1C1C2013475"
"279","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF‐2022M3H4A1A02046445"
"280","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF‐2021R1A6A3A13043651"
"281","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF‐2021M3H4A1A04086552"
"282","https://openalex.org/F4320321001","National Natural Science Foundation of China","52202154"
"283","https://openalex.org/F4320326275","Higher Education Commision, Pakistan","3‐1/PDFP/HEC/2022/1520(B‐2)/01"
"284","https://openalex.org/F4320306076","National Science Foundation","1538180"
"285","https://openalex.org/F4320337345","Office of Naval Research","N000141812876"
"286","https://openalex.org/F4320338281","Army Research Office","W911NF‐20‐0093"
"287","https://openalex.org/F4320306076","National Science Foundation","RF1AG057452"
"288","https://openalex.org/F4320306076","National Science Foundation","R01AG059093"
"289","https://openalex.org/F4320306076","National Science Foundation","U19AG063744"
"290","https://openalex.org/F4320306076","National Science Foundation","FNIH: #DAOU16AMPA"
"291","https://openalex.org/F4320306076","National Science Foundation","RF1AG058942"
"292","https://openalex.org/F4320306076","National Science Foundation","U01AG061359"
"293","https://openalex.org/F4320306076","National Science Foundation","R01AG046171"
"294","https://openalex.org/F4320306076","National Science Foundation","RF1AG051550"
"295","https://openalex.org/F4320337351","National Cancer Institute","R44CA275489"
"296","https://openalex.org/F4320337351","National Cancer Institute","R01CA246547"
"297","https://openalex.org/F4320306078","U.S. Department of Defense","CDMRP BCRP BC151081"
"298","https://openalex.org/F4320306078","U.S. Department of Defense","LCRP LC200368"
"299","https://openalex.org/F4320337351","National Cancer Institute","R01CA101795"
"300","https://openalex.org/F4320322597","Terry Fox Research Institute","1109"
"301","https://openalex.org/F4320329172","BC Cancer Foundation","1PRRG012"
"302","https://openalex.org/F4320334506","Canadian Institutes of Health Research","175238"
"303","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH‐21‐1‐0300"
"304","https://openalex.org/F4320334506","Canadian Institutes of Health Research","173338"
"305","https://openalex.org/F4320334506","Canadian Institutes of Health Research","180554"
"306","https://openalex.org/F4320334506","Canadian Institutes of Health Research","153073"
"307","https://openalex.org/F4320332161","National Institutes of Health","P50CA097186"
"308","https://openalex.org/F4320334506","Canadian Institutes of Health Research","153081"
"309","https://openalex.org/F4320311169","Cancer Research Society","PIN‐840847"
"310","https://openalex.org/F4320334506","Canadian Institutes of Health Research","186331"
"311","https://openalex.org/F4320320292","Prostate Cancer UK","RIA22‐ST2‐006"
"312","https://openalex.org/F4320321001","National Natural Science Foundation of China","82125006"
"313","https://openalex.org/F4320321001","National Natural Science Foundation of China","52171152"
"314","https://openalex.org/F4320338281","Army Research Office","W911NF‐19‐2‐0049"
"315","https://openalex.org/F4320309893","City University of Hong Kong","9360161"
"316","https://openalex.org/F4320321001","National Natural Science Foundation of China","U24A2024"
"317","https://openalex.org/F4320306076","National Science Foundation","DMR–1611180"
"318","https://openalex.org/F4320338281","Army Research Office","FA9550‐23‐1‐0503"
"319","https://openalex.org/F4320306076","National Science Foundation","1809640"
"320","https://openalex.org/F4320338281","Army Research Office","W911NF‐13‐1‐0438"
"321","https://openalex.org/F4320334627","Engineering and Physical Sciences Research Council","EP/VO48686/1"
"322","https://openalex.org/F4320337345","Office of Naval Research","N000142412104"
"323","https://openalex.org/F4320322320","King Abdullah University of Science and Technology","ORFS‐CRG11‐2022‐5045"
"324","https://openalex.org/F4320306076","National Science Foundation","ECCS‐2230412"
"325","https://openalex.org/F4320306076","National Science Foundation","ECCS‐2036915"
"326","https://openalex.org/F4320337345","Office of Naval Research","N00014‐20‐1‐2110"
"327","https://openalex.org/F4320324174","Natural Science Foundation of Shandong Province","ZR2022JQ09"
"328","https://openalex.org/F4320337351","National Cancer Institute","3R01‐CA236814‐03S1"
"329","https://openalex.org/F4320337351","National Cancer Institute","1R01CA236814‐01A1"
"330","https://openalex.org/F4320321001","National Natural Science Foundation of China","U22A20291"
"331","https://openalex.org/F4320321001","National Natural Science Foundation of China","82270218"
"332","https://openalex.org/F4320321001","National Natural Science Foundation of China","81920108006"
"333","https://openalex.org/F4320337351","National Cancer Institute","U54CA272691‐01"
"334","https://openalex.org/F4320306078","U.S. Department of Defense","CA180190"
"335","https://openalex.org/F4320322581","Vetenskapsrådet","2019‐02397"
"336","https://openalex.org/F4320320883","Agence Nationale de la Recherche","ANR‐09‐MNPS‐009‐01"
"337","https://openalex.org/F4320337472","National Center for Advancing Translational Sciences","UL1 TR001873"
"338","https://openalex.org/F4320322581","Vetenskapsrådet","2022‐01018"
"339","https://openalex.org/F4320332161","National Institutes of Health","R01AG66395"
"340","https://openalex.org/F4320322025","Conselho Nacional de Desenvolvimento Científico e Tecnológico","304746/2022‐3"
"341","https://openalex.org/F4320332161","National Institutes of Health","U19AG069701"
"342","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH‐21‐1‐0093"
"343","https://openalex.org/F4320306219","Alzheimer's Association","FAPESP13/08028‐1"
"344","https://openalex.org/F4320332161","National Institutes of Health","K08NS101118"
"345","https://openalex.org/F4320332161","National Institutes of Health","R01AG083941"
"346","https://openalex.org/F4320332161","National Institutes of Health","R56AG081417"
"347","https://openalex.org/F4320332161","National Institutes of Health","P30EY003790"
"348","https://openalex.org/F4320307132","Alzheimer's Drug Discovery Foundation","GC‐201711‐2014197"
"349","https://openalex.org/F4320332161","National Institutes of Health","R01AG082362"
"350","https://openalex.org/F4320332161","National Institutes of Health","K24AG053435"
"351","https://openalex.org/F4320332161","National Institutes of Health","3RF1NS118558"
"352","https://openalex.org/F4320332161","National Institutes of Health","U01AG058635"
"353","https://openalex.org/F4320332161","National Institutes of Health","1U19AG069701"
"354","https://openalex.org/F4320332161","National Institutes of Health","R01 AG081228"
"355","https://openalex.org/F4320332161","National Institutes of Health","W81XWH2010934"
"356","https://openalex.org/F4320332161","National Institutes of Health","R01 AG068395"
"357","https://openalex.org/F4320332161","National Institutes of Health","K01AG062683"
"358","https://openalex.org/F4320332161","National Institutes of Health","RF1AG067194"
"359","https://openalex.org/F4320332161","National Institutes of Health","T32 AG078110"
"360","https://openalex.org/F4320332161","National Institutes of Health","RF1AG046205"
"361","https://openalex.org/F4320332161","National Institutes of Health","T32AG058518"
"362","https://openalex.org/F4320332161","National Institutes of Health","U54NS110435"
"363","https://openalex.org/F4320332161","National Institutes of Health","T32 GM008361"
"364","https://openalex.org/F4320332161","National Institutes of Health","T32AG05851804"
"365","https://openalex.org/F4320332161","National Institutes of Health","F32AG08483"
"366","https://openalex.org/F4320306219","Alzheimer's Association","23AARG‐1026607"
"367","https://openalex.org/F4320306219","Alzheimer's Association","AARF‐20‐683984"
"368","https://openalex.org/F4320332161","National Institutes of Health","RF1AG083753"
"369","https://openalex.org/F4320308990","BrightFocus Foundation","A2017458S"
"370","https://openalex.org/F4320332161","National Institutes of Health","R56AG078733"
"371","https://openalex.org/F4320332161","National Institutes of Health","5R01AG070830"
"372","https://openalex.org/F4320308990","BrightFocus Foundation","A2021015F"
"373","https://openalex.org/F4320332161","National Institutes of Health","K99AG075238"
"374","https://openalex.org/F4320308990","BrightFocus Foundation","A2022010F"
"375","https://openalex.org/F4320332161","National Institutes of Health","7DP5OD028133"
"376","https://openalex.org/F4320337349","NIH Office of the Director","DP5 OD019833"
"377","https://openalex.org/F4320322581","Vetenskapsrådet","#2017‐00915"
"378","https://openalex.org/F4320322581","Vetenskapsrådet","#2022‐01018"
"379","https://openalex.org/F4320306219","Alzheimer's Association","SG‐23‐1038904QC"
"380","https://openalex.org/F4320322581","Vetenskapsrådet","#2019‐02397"
"381","https://openalex.org/F4320322581","Vetenskapsrådet","#2022‐00732"
"382","https://openalex.org/F4320332161","National Institutes of Health","U01 AG024904"
"383","https://openalex.org/F4320329730","UK Dementia Research Institute","UKDRI‐1003"
"384","https://openalex.org/F4320334506","Canadian Institutes of Health Research","#PJT 153287"
"385","https://openalex.org/F4320309944","Cure Alzheimer's Fund","EPIC4AD"
"386","https://openalex.org/F4320306080","Foundation for the National Institutes of Health","U01AG052564"
"387","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH‐12‐2‐0012"
"388","https://openalex.org/F4320332161","National Institutes of Health","U01AG042791‐S1"
"389","https://openalex.org/F4320321001","National Natural Science Foundation of China","82202131"
"390","https://openalex.org/F4320321602","Deutsches Zentrum für Luft- und Raumfahrt","01KU2203"
"391","https://openalex.org/F4320332161","National Institutes of Health","U24‐AG074855"
"392","https://openalex.org/F4320332161","National Institutes of Health","U01‐AG072177"
"393","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG057739"
"394","https://openalex.org/F4320337337","National Institute on Aging","R01‐AG073439"
"395","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG019771"
"396","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG068193"
"397","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG061028"
"398","https://openalex.org/F4320332161","National Institutes of Health","U19‐AG074879"
"399","https://openalex.org/F4320332161","National Institutes of Health","T32‐AG071444"
"400","https://openalex.org/F4320332161","National Institutes of Health","DP2AG082342"
"401","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG082730"
"402","https://openalex.org/F4320332161","National Institutes of Health","U19‐AG066567"
"403","https://openalex.org/F4320332161","National Institutes of Health","U01‐AG068057"
"404","https://openalex.org/F4320332161","National Institutes of Health","P30‐AG010133"
"405","https://openalex.org/F4320332161","National Institutes of Health","R00‐AG061238"
"406","https://openalex.org/F4320332161","National Institutes of Health","R01‐LM013463"
"407","https://openalex.org/F4320332161","National Institutes of Health","P30‐AG072976"
"408","https://openalex.org/F4320332161","National Institutes of Health","U19‐AG024904"
"409","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG079142"
"410","https://openalex.org/F4320332161","National Institutes of Health","R01‐AG029672"
"411","https://openalex.org/F4320332161","National Institutes of Health","U01‐AG0006781"
"412","https://openalex.org/F4320337337","National Institute on Aging","R01‐AG062826"
"413","https://openalex.org/F4320338292","Lawrence Berkeley National Laboratory","DE-AC02-05CH11231"
"414","https://openalex.org/F4320332186","Defense Threat Reduction Agency","CB11142"
"415","https://openalex.org/F4320322725","China Scholarship Council","202006240090"
"416","https://openalex.org/F4320306084","U.S. Department of Energy","DE-AC02-05-CH11231"
"417","https://openalex.org/F4320338281","Army Research Office","W911NF-20-0093"
"418","https://openalex.org/F4320335880","Fundamental Research Funds for Central Universities of the Central South University","buctrc202222"
"419","https://openalex.org/F4320321001","National Natural Science Foundation of China","52303290"
"420","https://openalex.org/F4320321001","National Natural Science Foundation of China","52373275"
"421","https://openalex.org/F4320338294","Air Force Research Laboratory","FA8650-18-2-5402"
"422","https://openalex.org/F4320335787","Fundamental Research Funds for the Central Universities","buctrc202310"
"423","https://openalex.org/F4320306076","National Science Foundation","DMR-2207299"
"424","https://openalex.org/F4320337345","Office of Naval Research","N00014-21-1-2666"
"425","https://openalex.org/F4320338493","Cold Regions Research and Engineering Laboratory","W913E519C0008"
"426","https://openalex.org/F4320338493","Cold Regions Research and Engineering Laboratory","W913E520C0010"
"427","https://openalex.org/F4320306076","National Science Foundation","DGE-1650604"
"428","https://openalex.org/F4320306076","National Science Foundation","DMR-1920086"
"429","https://openalex.org/F4320306076","National Science Foundation","1757371"
"430","https://openalex.org/F4320332161","National Institutes of Health","R35GM138318"
"431","https://openalex.org/F4320306076","National Science Foundation","DMR-1719875"
"432","https://openalex.org/F4320332172","Directorate for Mathematical and Physical Sciences","1945218"
"433","https://openalex.org/F4320307785","3M","NTFA"
"434","https://openalex.org/F4320321001","National Natural Science Foundation of China","22103053"
"435","https://openalex.org/F4320338507","Life Sciences Division, Army Research Office","W911NF2310260"
"436","https://openalex.org/F4320337354","National Institute of General Medical Sciences","1R01GM141391-01A1"
"437","https://openalex.org/F4320338486","Peer Reviewed Alzheimer’s Research Program","W81XWH1910860"
"438","https://openalex.org/F4320326185","Taishan Scholar Foundation of Shandong Province","tsqn202211167"
